Timestamp(ms),Current(uA),D0-D7
586490,3286.515,00000000
586500,3263.369,00000000
586510,2963.938,00000000
586520,2887.086,00000000
586530,2812.632,00000000
586540,2816.782,00000000
586550,2917.792,00000000
586560,2970.834,00000000
586570,2914.904,00000000
586580,2962.601,00000000
586590,3047.941,00000000
586600,3298.167,00000000
586610,3025.995,00000000
586620,2916.488,00000000
586630,2861.585,00000000
586640,2895.563,00000000
586650,2854.305,00000000
586660,2819.432,00000000
586670,2839.124,00000000
586680,2805.330,00000000
586690,2826.619,00000000
586700,3372.420,00000000
586710,3163.829,00000000
586720,3082.622,00000000
586730,2965.889,00000000
586740,2978.039,00000000
586750,2942.879,00000000
586760,2925.568,00000000
586770,2914.332,00000000
586780,2856.524,00000000
586790,2828.556,00000000
586800,3353.805,00000000
586810,3034.944,00000000
586820,2934.197,00000000
586830,2850.083,00000000
586840,2832.714,00000000
586850,3052.874,00000000
586860,3175.451,00000000
586870,3226.861,00000000
586880,3216.880,00000000
586890,3331.135,00000000
586900,3332.818,00000000
586910,3620.175,00000000
586920,3472.048,00000000
586930,3433.157,00000000
586940,3447.178,00000000
586950,3486.858,00000000
586960,3447.975,00000000
586970,3475.909,00000000
586980,3489.125,00000000
586990,3535.604,00000000
587000,3635.957,00000000
587010,4267.728,00000000
587020,3979.756,00000000
587030,3840.663,00000000
587040,3710.816,00000000
587050,3627.803,00000000
587060,3597.913,00000000
587070,3620.338,00000000
587080,3561.504,00000000
587090,3586.518,00000000
587100,3573.958,00000000
587110,3599.370,00000000
587120,4136.408,00000000
587130,3784.688,00000000
587140,3665.040,00000000
587150,3610.513,00000000
587160,3759.756,00000000
587170,3816.501,00000000
587180,3813.046,00000000
587190,3822.305,00000000
587200,3796.633,00000000
587210,3767.836,00000000
587220,3818.539,00000000
587230,4309.142,00000000
587240,3999.736,00000000
587250,3879.662,00000000
587260,3846.859,00000000
587270,3808.769,00000000
587280,3726.802,00000000
587290,3813.445,00000000
587300,3797.008,00000000
587310,3637.792,00000000
587320,3602.157,00000000
587330,4055.955,00000000
587340,3737.593,00000000
587350,3583.243,00000000
587360,3577.862,00000000
587370,3578.053,00000000
587380,3517.502,00000000
587390,3506.747,00000000
587400,3488.033,00000000
587410,3479.131,00000000
587420,3496.323,00000000
587430,3502.262,00000000
587440,3819.904,00000000
587450,3625.123,00000000
587460,3356.686,00000000
587470,3247.165,00000000
587480,3245.583,00000000
587490,3175.491,00000000
587500,3209.042,00000000
587510,3162.697,00000000
587520,3114.816,00000000
587530,3122.504,00000000
587540,3455.245,00000000
587550,3243.320,00000000
587560,3196.393,00000000
587570,3220.260,00000000
587580,3205.160,00000000
587590,3263.351,00000000
587600,3349.903,00000000
587610,3206.292,00000000
587620,3071.896,00000000
587630,3018.618,00000000
587640,3014.688,00000000
587650,3516.676,00000000
587660,3247.528,00000000
587670,3143.101,00000000
587680,3142.708,00000000
587690,3154.348,00000000
587700,3230.702,00000000
587710,3217.327,00000000
587720,3228.724,00000000
587730,3232.298,00000000
587740,3277.211,00000000
587750,3291.993,00000000
587760,3486.295,00000000
587770,3179.548,00000000
587780,3108.514,00000000
587790,3051.715,00000000
587800,3049.736,00000000
587810,3060.280,00000000
587820,3080.315,00000000
587830,3129.072,00000000
587840,3090.848,00000000
587850,3128.894,00000000
587860,3729.806,00000000
587870,3318.142,00000000
587880,3192.132,00000000
587890,3142.007,00000000
587900,3068.805,00000000
587910,3031.815,00000000
587920,2997.508,00000000
587930,2966.534,00000000
587940,2952.744,00000000
587950,2917.608,00000000
587960,3509.615,00000000
587970,3093.783,00000000
587980,2892.620,00000000
587990,2851.253,00000000
588000,2889.946,00000000
588010,2790.969,00000000
588020,2796.531,00000000
588030,2742.115,00000000
588040,2701.403,00000000
588050,2688.849,00000000
588060,2656.574,00000000
588070,3362.084,00000000
588080,2793.816,00000000
588090,2563.297,00000000
588100,2497.491,00000000
588110,2456.927,00000000
588120,2438.486,00000000
588130,2364.618,00000000
588140,2375.411,00000000
588150,2288.722,00000000
588160,2360.169,00000000
588170,2330.431,00000000
588180,2713.130,00000000
588190,2432.938,00000000
588200,2310.941,00000000
588210,2249.105,00000000
588220,2100.247,00000000
588230,1980.455,00000000
588240,1936.569,00000000
588250,1917.007,00000000
588260,1990.747,00000000
588270,1903.477,00000000
588280,2128.158,00000000
588290,2161.038,00000000
588300,2046.316,00000000
588310,2047.521,00000000
588320,2025.009,00000000
588330,2015.974,00000000
588340,2012.357,00000000
588350,2030.123,00000000
588360,2029.159,00000000
588370,1871.546,00000000
588380,1841.520,00000000
588390,2129.834,00000000
588400,2062.349,00000000
588410,1913.987,00000000
588420,1839.085,00000000
588430,1806.773,00000000
588440,1809.552,00000000
588450,1833.503,00000000
588460,1851.752,00000000
588470,1859.327,00000000
588480,1842.844,00000000
588490,1882.521,00000000
588500,2315.872,00000000
588510,2063.320,00000000
588520,1811.578,00000000
588530,1731.382,00000000
588540,1715.415,00000000
588550,1662.089,00000000
588560,1671.617,00000000
588570,1746.501,00000000
588580,1704.208,00000000
588590,1727.498,00000000
588600,2084.527,00000000
588610,1821.898,00000000
588620,1730.193,00000000
588630,1706.612,00000000
588640,1745.078,00000000
588650,1746.457,00000000
588660,1750.443,00000000
588670,1554.437,00000000
588680,1445.086,00000000
588690,1401.233,00000000
588700,1521.189,00000000
588710,1887.332,00000000
588720,1583.914,00000000
588730,1540.232,00000000
588740,1464.454,00000000
588750,1454.977,00000000
588760,1444.010,00000000
588770,1410.659,00000000
588780,1424.526,00000000
588790,1437.495,00000000
588800,1426.067,00000000
588810,2104.600,00000000
588820,1873.701,00000000
588830,1873.073,00000000
588840,1845.912,00000000
588850,1801.459,00000000
588860,1787.877,00000000
588870,1812.349,00000000
588880,1795.853,00000000
588890,1800.454,00000000
588900,1818.308,00000000
588910,2197.033,00000000
588920,2174.325,00000000
588930,1885.410,00000000
588940,1770.167,00000000
588950,1719.193,00000000
588960,1687.385,00000000
588970,1644.733,00000000
588980,1717.576,00000000
588990,1733.628,00000000
589000,1752.829,00000000
589010,1792.876,00000000
589020,2266.887,00000000
589030,1990.595,00000000
589040,1869.744,00000000
589050,1835.122,00000000
589060,1814.948,00000000
589070,1811.537,00000000
589080,1794.887,00000000
589090,1819.643,00000000
589100,1793.750,00000000
589110,1834.649,00000000
589120,1875.832,00000000
589130,2424.054,00000000
589140,2208.823,00000000
589150,2151.800,00000000
589160,2097.870,00000000
589170,2095.498,00000000
589180,2086.327,00000000
589190,2106.219,00000000
589200,2104.134,00000000
589210,2127.307,00000000
589220,2181.401,00000000
589230,2909.175,00000000
589240,2453.967,00000000
589250,2286.093,00000000
589260,2214.942,00000000
589270,2181.549,00000000
589280,2352.002,00000000
589290,2444.155,00000000
589300,2484.867,00000000
589310,2466.764,00000000
589320,2525.038,00000000
589330,2627.259,00000000
589340,2821.977,00000000
589350,2673.618,00000000
589360,2600.034,00000000
589370,2590.680,00000000
589380,2588.042,00000000
589390,2634.418,00000000
589400,2643.874,00000000
589410,2670.508,00000000
589420,2660.091,00000000
589430,2713.461,00000000
589440,2915.959,00000000
589450,3187.870,00000000
589460,2928.219,00000000
589470,2770.485,00000000
589480,2750.288,00000000
589490,2723.684,00000000
589500,2663.588,00000000
589510,2626.929,00000000
589520,2628.590,00000000
589530,2610.420,00000000
589540,2578.165,00000000
589550,2909.537,00000000
589560,2661.479,00000000
589570,2564.258,00000000
589580,2549.329,00000000
589590,2619.390,00000000
589600,2660.390,00000000
589610,2695.489,00000000
589620,2657.781,00000000
589630,2629.984,00000000
589640,2662.838,00000000
589650,3400.946,00000000
589660,2859.057,00000000
589670,2698.284,00000000
589680,2625.136,00000000
589690,2591.831,00000000
589700,2553.008,00000000
589710,2579.848,00000000
589720,2623.612,00000000
589730,2628.910,00000000
589740,2880.071,00000000
589750,2922.707,00000000
589760,3358.839,00000000
589770,3170.593,00000000
589780,3107.763,00000000
589790,3137.954,00000000
589800,3078.673,00000000
589810,3070.414,00000000
589820,3115.647,00000000
589830,3108.667,00000000
589840,3161.887,00000000
589850,3180.135,00000000
589860,3862.846,00000000
589870,3490.688,00000000
589880,3351.789,00000000
589890,3321.055,00000000
589900,3420.925,00000000
589910,3428.531,00000000
589920,3470.386,00000000
589930,3429.107,00000000
589940,3498.737,00000000
589950,3402.348,00000000
589960,3442.257,00000000
589970,3773.597,00000000
589980,3514.986,00000000
589990,3446.483,00000000
590000,3437.114,00000000
590010,3430.642,00000000
590020,3447.339,00000000
590030,3469.093,00000000
590040,3370.510,00000000
590050,3558.627,00000000
590060,3507.167,00000000
590070,4042.005,00000000
590080,3904.013,00000000
590090,3671.300,00000000
590100,3551.554,00000000
590110,3585.933,00000000
590120,3547.449,00000000
590130,3543.096,00000000
590140,3512.855,00000000
590150,3542.627,00000000
590160,3547.713,00000000
590170,3515.384,00000000
590180,4194.167,00000000
590190,3763.320,00000000
590200,3713.990,00000000
590210,3794.571,00000000
590220,3830.431,00000000
590230,3848.649,00000000
590240,3794.597,00000000
590250,3795.947,00000000
590260,3783.760,00000000
590270,3840.977,00000000
590280,4319.128,00000000
590290,4020.942,00000000
590300,3871.843,00000000
590310,3826.835,00000000
590320,3798.590,00000000
590330,3846.515,00000000
590340,3871.374,00000000
590350,3651.020,00000000
590360,3488.942,00000000
590370,3516.234,00000000
590380,3503.122,00000000
590390,4128.476,00000000
590400,3752.573,00000000
590410,3477.418,00000000
590420,3496.552,00000000
590430,3494.276,00000000
590440,3538.034,00000000
590450,3576.928,00000000
590460,3648.087,00000000
590470,3623.241,00000000
590480,3655.213,00000000
590490,4051.057,00000000
590500,3814.446,00000000
590510,3617.794,00000000
590520,3521.898,00000000
590530,3515.675,00000000
590540,3519.714,00000000
590550,3482.941,00000000
590560,3449.547,00000000
590570,3437.622,00000000
590580,3471.392,00000000
590590,3478.126,00000000
590600,3961.716,00000000
590610,3693.324,00000000
590620,3576.811,00000000
590630,3458.556,00000000
590640,3467.275,00000000
590650,3423.746,00000000
590660,3365.802,00000000
590670,3289.250,00000000
590680,3249.161,00000000
590690,3279.135,00000000
590700,3733.252,00000000
590710,3410.737,00000000
590720,3295.364,00000000
590730,3233.618,00000000
590740,3228.119,00000000
590750,3233.093,00000000
590760,3236.959,00000000
590770,3258.572,00000000
590780,3216.842,00000000
590790,3185.070,00000000
590800,3716.931,00000000
590810,3306.129,00000000
590820,3113.805,00000000
590830,3044.014,00000000
590840,3057.307,00000000
590850,3007.538,00000000
590860,3019.079,00000000
590870,2983.119,00000000
590880,2978.286,00000000
590890,2987.590,00000000
590900,2912.688,00000000
590910,3470.292,00000000
590920,3083.667,00000000
590930,2883.917,00000000
590940,2872.275,00000000
590950,2820.366,00000000
590960,2703.815,00000000
590970,2606.035,00000000
590980,2609.011,00000000
590990,2583.221,00000000
591000,2507.200,00000000
591010,2917.552,00000000
591020,2614.698,00000000
591030,2515.841,00000000
591040,2476.790,00000000
591050,2414.209,00000000
591060,2422.227,00000000
591070,2406.937,00000000
591080,2395.991,00000000
591090,2385.088,00000000
591100,2352.946,00000000
591110,2252.527,00000000
591120,2352.071,00000000
591130,2229.531,00000000
591140,2196.082,00000000
591150,2156.314,00000000
591160,2193.983,00000000
591170,2199.265,00000000
591180,2185.435,00000000
591190,2230.626,00000000
591200,2269.279,00000000
591210,2253.990,00000000
591220,2621.399,00000000
591230,2421.029,00000000
591240,2395.956,00000000
591250,2328.614,00000000
591260,2179.132,00000000
591270,2100.734,00000000
591280,2089.490,00000000
591290,2105.444,00000000
591300,2077.527,00000000
591310,2097.014,00000000
591320,2528.630,00000000
591330,2438.489,00000000
591340,2196.260,00000000
591350,2202.286,00000000
591360,2200.068,00000000
591370,2175.054,00000000
591380,2263.892,00000000
591390,2212.305,00000000
591400,2220.530,00000000
591410,2075.361,00000000
591420,1985.030,00000000
591430,2448.910,00000000
591440,2142.131,00000000
