timestamp,device_name,device_address,rssi,distance_m,condition,trial
2026-04-07 19:45:11.991724,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:12.048047,EEG Wearable,E1:1B:6D:10:62:56,-71,0.2,line_of_sight,2
2026-04-07 19:45:12.080788,EEG Wearable,E1:1B:6D:10:62:56,-71,0.2,line_of_sight,2
2026-04-07 19:45:12.993382,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:13.028418,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:14.671619,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:14.677147,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:14.761557,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:14.805092,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:15.695363,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:16.577239,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:16.577239,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:17.432755,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
2026-04-07 19:45:17.432755,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
2026-04-07 19:45:19.069557,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:19.069557,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:19.133750,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
2026-04-07 19:45:19.164153,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
2026-04-07 19:45:19.971440,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:20.006770,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:21.023014,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:21.870625,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:21.886792,EEG Wearable,E1:1B:6D:10:62:56,-62,0.2,line_of_sight,2
2026-04-07 19:45:22.920528,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:22.920528,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:23.769622,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
2026-04-07 19:45:23.876372,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:23.876372,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:24.600543,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:24.635112,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:25.762634,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:25.766864,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:26.727264,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:26.732514,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:26.802354,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:26.823029,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:27.754453,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:27.770259,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:27.865710,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:27.913369,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:29.581730,EEG Wearable,E1:1B:6D:10:62:56,-61,0.2,line_of_sight,2
2026-04-07 19:45:29.635014,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:29.684943,EEG Wearable,E1:1B:6D:10:62:56,-63,0.2,line_of_sight,2
2026-04-07 19:45:30.479883,EEG Wearable,E1:1B:6D:10:62:56,-72,0.2,line_of_sight,2
