time_s,eeg_amplitude_uv,eeg_blink,cv_ear,cv_blink,bird_y,game_state,score
5.4811,8.2903,0,0.33398,0,221.17,playing,0
5.4974,8.2903,0,0.34654,0,220.11,playing,0
5.5136,5.1841,0,0.34654,0,219.4,playing,0
5.5295,5.1841,0,0.34654,0,218.97,playing,0
5.5456,5.1841,0,0.34654,0,218.82,playing,0
5.5615,0.8851,0,0.33402,0,218.95,playing,0
5.5776,0.8851,0,0.33402,0,219.36,playing,0
5.5937,0.8851,0,0.31233,0,220.05,playing,0
5.6104,-0.6347,0,0.31233,0,221.11,playing,0
5.6272,-0.6347,0,0.31007,0,222.39,playing,0
5.6434,-0.6347,0,0.31007,0,224.06,playing,0
5.6591,-1.7635,0,0.31651,0,225.91,playing,0
5.6754,-1.7635,0,0.31651,0,228.05,playing,0
5.6914,-2.4188,0,0.29442,0,230.47,playing,0
5.7081,-3.1103,0,0.29442,0,233.36,playing,0
5.7245,-3.1103,0,0.29442,0,236.36,playing,0
5.7407,-3.6211,0,0.36885,0,239.64,playing,0
5.7569,-3.6211,0,0.36885,0,243.2,playing,0
5.7738,-3.6211,0,0.28898,0,247.31,playing,0
5.7901,-4.8387,0,0.28898,0,251.73,playing,0
5.8067,-4.8387,0,0.32646,0,256.17,playing,0
5.8225,-4.8387,0,0.32646,0,260.9,playing,0
5.8391,-25.8705,1,0.3253,0,265.9,playing,0
5.8552,-25.8705,0,0.3253,0,259.59,playing,0
5.8721,-24.2107,0,0.25915,0,253.93,playing,0
5.8882,0.9431,0,0.25915,0,248.24,playing,0
5.905,0.9431,0,0.23882,0,243.16,playing,0
5.9213,17.9395,0,0.23882,0,238.08,playing,0
5.9377,17.9395,0,0.23882,0,233.58,playing,0
5.954,17.9395,0,0.22988,0,229.12,playing,0
5.971,19.2078,0,0.22988,0,225.21,playing,0
5.9878,19.2078,0,0.22988,0,221.36,playing,0
6.0045,19.2078,0,0.28308,0,217.84,playing,0
6.0198,13.9775,0,0.28308,0,214.8,playing,0
6.0365,13.9775,0,0.33907,0,212.04,playing,0
6.0527,10.228,0,0.33907,0,209.57,playing,0
6.0681,10.228,0,0.31816,0,207.38,playing,0
6.0846,10.228,0,0.31816,0,205.47,playing,0
6.1007,7.4204,0,0.31816,0,203.84,playing,0
6.1181,7.4204,0,0.31816,0,202.43,playing,0
6.1347,7.4204,0,0.33586,0,201.33,playing,0
6.1502,2.0661,0,0.33586,0,200.58,playing,0
6.166,2.0661,0,0.30987,0,200.12,playing,0
6.1829,2.0661,0,0.30987,0,199.93,playing,0
6.2001,0.2658,0,0.33749,0,200.05,playing,0
6.217,0.2658,0,0.33749,0,200.49,playing,0
6.2336,-1.7139,0,0.33124,0,201.25,playing,0
6.2499,-1.7139,0,0.33124,0,202.24,playing,0
6.267,-1.7139,0,0.29269,0,203.61,playing,0
6.2838,-2.5199,0,0.29269,0,205.31,playing,0
6.3,-2.5199,0,0.2959,0,207.31,playing,0
6.317,-2.5199,0,0.2959,0,209.49,playing,0
6.333,-2.7434,0,0.33915,0,212.11,playing,0
6.349,-2.7434,0,0.33915,0,214.87,playing,0
6.3658,-2.7434,0,0.33979,0,217.9,playing,0
6.3821,-2.8983,0,0.33979,0,221.45,playing,0
6.3981,-2.8983,0,0.32135,0,225.06,playing,0
6.4152,-3.5913,0,0.32135,0,228.96,playing,0
6.4316,-3.5913,0,0.32135,0,233.42,playing,0
6.4477,-3.5913,0,0.32135,0,237.9,playing,0
6.4642,-28.2743,1,0.3364,0,242.97,playing,0
6.4802,-28.2743,0,0.3364,0,237.01,playing,0
6.4966,-28.2743,0,0.3238,0,231.34,playing,0
6.5131,-24.9369,0,0.3238,0,225.94,playing,0
6.53,-24.9369,0,0.31077,0,220.53,playing,0
6.5464,-5.4479,0,0.31077,0,215.43,playing,0
6.5626,-5.4479,0,0.20932,0,210.92,playing,0
6.5789,-5.4479,0,0.20932,0,206.68,playing,0
6.5955,17.6914,0,0.19706,0,202.5,playing,0
6.6118,17.6914,0,0.19706,0,198.85,playing,0
6.629,17.6914,0,0.1887,0,195.29,playing,0
6.6459,16.2999,0,0.1887,0,192.04,playing,0
6.663,16.2999,0,0.24647,1,189.11,playing,0
6.6796,16.2999,0,0.24647,0,186.5,playing,0
6.6963,11.4982,0,0.29995,0,184.33,playing,0
6.7132,11.4982,0,0.29995,0,182.34,playing,0
6.7296,8.2926,0,0.31785,0,180.66,playing,0
6.7461,8.2926,0,0.31785,0,179.37,playing,0
6.7629,8.2926,0,0.33105,0,178.31,playing,0
6.7796,6.1515,0,0.33105,0,177.57,playing,0
6.796,6.1515,0,0.33105,0,177.16,playing,0
6.8122,6.1515,0,0.33105,0,177.03,playing,0
6.8286,1.4799,0,0.33105,0,177.2,playing,0
6.8449,1.4799,0,0.33105,0,177.65,playing,0
6.8614,1.4799,0,0.33105,0,178.44,playing,0
6.8777,-0.2244,0,0.32887,0,179.47,playing,0
6.8932,-0.2244,0,0.32887,0,180.78,playing,0
6.9098,-1.5288,0,0.32887,0,182.37,playing,0
6.9271,-1.5288,0,0.31618,0,184.38,playing,0
6.9434,-1.5288,0,0.31618,0,186.71,playing,0
6.959,-1.447,0,0.31618,0,189.18,playing,1
6.9753,-1.447,0,0.33629,0,191.94,playing,1
6.9919,-1.447,0,0.33629,0,194.97,playing,1
7.0085,-2.4192,0,0.33629,0,198.51,playing,1
7.0252,-2.4192,0,0.33629,0,202.13,playing,1
7.0413,-2.8282,0,0.33619,0,206.29,playing,1
